title,description
High time for Government to play its proper part in solving the housing crisis,"Housing is at a crossroads in Ireland. We can continue lurching from crisis to crisis with “Generation Rent”, the homeless, and future generations locked out of affordable homes; or we can tackle the roots of the problem. More than a third of people in their 40s here are renting. They are less likel"
UK house prices return to growth in July - Halifax,"British house prices rose in July after falling in June as demand for bigger homes following pandemic lockdowns helped to soften the impact of a reduced tax break for buyers, mortgage lender Halifax said on Friday. House prices last month were 0.4 per cent higher than in June when they fell by a mon"
ESRI officer defends comments on housing scheme amid Government pushback,"A senior member of the Economic and Social Research Institute (ESRI) defended statements on the possible impact of a new scheme to the Oireachtas housing committee on Tuesday, amid considerable pushback from Government TDs and Senators on the comments. Conor O'Toole, senior research officer at the i"
Q&A: What are the key details of the Government’s affordable housing plan?,"Q: What is the situation with house prices? A: The latest report on the average sale price of houses by property website daft.ie, published last month, noted that despite Covid-19 prices actually increased during 2020, rising €20,000 to a national average of €275,000. The report, which covered the"
OECD countries ill-equipped to meet Covid-19 housing crisis,"The world's wealthiest nations have halved public investment in housing development over the past 20 years, with Ireland ""at the bottom of the group"", the Organisation for Economic Co-operation and Development (OECD) has told a Housing Agency conference. The Covid-19 pandemic will increase demand fo"
Council reasons for not building houses just don’t stack up,"For the second time in 12 months Dublin city councillors have fallen out with management on how to deliver housing. The first time it was over the sale of O’Devaney Gardens, a prime site close to the Phoenix Park in the heart of Dublin. The most recent spat involves the development of 853 homes on a"
Your house as a canvas: A mural can make a home,"From fabulous frescoes in Italian churches, to astonishing trompe l’oeil in glorious ancestral halls, murals open windows to new worlds where otherwise there would be nothing but plain old plaster. But you don’t need a castle or cathedral to join the arty party. A growing trend sees murals getting d"
House price inflation surges to pandemic high of 13.5%,"House price inflation has surged to a pandemic high of 13.5 per cent, according to the Central Statistics Office (CSO). The figures for October represent the strongest level of price growth seen in the market since June 2015. Many had predicted property values would fall as a result of the pandemic "
State’s affordable housing plan will only make things worse,"We should probably stop calling our housing problem a crisis. The latter denotes something temporary, something finite. We’ve been dealing with housing-related issues – homelessness, undersupply, soaring costs – for three decades and it’s not obvious what we’ve got to show for it. “Affordability ero"
The couple who moved from city house to castle home,"“During tough times people want colour. They want their homes to feel like a sanctuary, not like a dentist’s surgery. At a time when uncertainty and anxiety reign, people want a fairytale, so we have really ramped up the imagination.” When House of Hackney burst onto the interiors scene in 2011, its"
"Banking levy extended, housing plan concerns, and difficult choices ahead on corporate tax","Minister for Finance Paschal Donohoe will announce in the budget that he is keeping the Irish banking levy beyond its scheduled conclusion date at the end of this year, writes Joe Brennan. But sources say the target for the amount it will yield will fall to reflect the imminent departure of Ulster "
Newton Emerson: Republic’s shared-equity housing scheme threatens to push up prices,"The Republic’s shared-equity housing scheme has not even started and already it has rendered the laws of economics too offensive to mention. Under the scheme, part of the new Affordable Housing Bill, a first-time buyer of a new-build home can ask the State to take up to a 30 per cent stake in the pr"
"How to buy a €450,000 house or apartment for a quarter less","It may sound like a gimmick, but it isn’t. Yes, by using existing State incentives, such as the help-to-buy scheme, as well as the forthcoming shared-equity initiative, it will soon be possible to secure a significant discount on the cost of a new home. Below we’ll show you how to do it, but it migh"
How Ireland’s housing crisis is part of a global problem,"It's tempting to view the perennial calamity that is housing in Ireland as unique. Half a century of lousy, at times corrupt, planning has left us with a countryside full of one-off housing and cities full of low-density developments. This makes the roll-out of infrastructure – health, transport, wa"
The Irish Times view on housing: the crisis that hasn’t gone away,"Normally property prices fall at times of economic difficulty. But the peculiar economic impact of the pandemic – and the dysfunctional state of the Irish property market – mean prices are moving in the opposite direction. Given that houses were, on most estimates, fully valued before the pandemic h"
Surge in European house prices stokes concerns over market resilience,"The housing market acts as the canary in a coal mine — prices tend to fall as a wider economic downturn looms. But this year, with a deep global recession caused by the coronavirus pandemic, property valuations have kept on rising in many countries. House price growth has accelerated to an annual pa"
I want to sell the house I bought with a friend but they are reluctant to do so,"I bought a house with a friend during the Celtic Tiger which subsequently ended up in negative equity. I moved out a few years ago to rent in a location close to work and, under a verbal agreement , my friend was happy to stay there and cover the mortgage . The house broke even shortly after and"
A Danish city housing model where the residents decide what's best,"One of the best views in Aarhus is from one of the new apartments overlooking the redeveloped harbour. You can pay handsomely for the privilege - over €5,000 per sq m, half a million euro to buy a 100sq m flat; or, for a slightly smaller three-room apartment, you might pay a monthly rent of 8000 kro"
Cliff Taylor: Affordable housing scheme will push up prices,"I would be nervous about the new affordable housing initiative under which the State would take an equity share in a new home. The scheme, due to be brought to Cabinet by Minister for Housing Darragh O’Brien, is aimed at helping those stuck in the middle – without enough income to buy a property, bu"
Moving house? Here’s how to make the right move,"The best way to realise the full value of your home is to achieve the maximum sale price. But in a seller’s market like today’s, did you know you can boost that even more by minimising the sale cost? The most effective way of doing it is through an estate agent like Moovingo, which charges a great v"
UK housing boom cools as prices fall in June - Halifax,"Britain’s housing market boom showed some signs of cooling in June as prices fell in monthly terms for the first time since January ahead of the scaling back of a tax break for buyers, mortgage lender Halifax said on Wednesday. Prices were 0.5 per cent lower than in May, Halifax said. In annual term"
Affordable housing subsidy must double for Dublin – housing chief says,"Affordable and cost rental housing will not be viable in Dublin unless the State subsidy for its construction is doubled, Dublin City Council's head of housing has said. Brendan Kenny said a €50,000 grant towards the cost of providing discounted homes might be ""fine for Leitrim"" but would be entirel"
"Permanent affordability must be engineered into State’s housing system, NESC says","The State's dysfunctional housing system is one where ""a land-price trap"" overly dominates in the marketplace, according to a National Economic and Social Council (NESC) report . The report has set out a series of bold actions on housing, including more direct interventions by the State to deliver "
Revenue won’t ‘over-rely’ on recent house prices in LPT valuation guidance,"The Revenue Commissioners will take recent price fluctuations in the ""very constrained"" housing market into account when advising homeowners ""as best we can"" how to value their properties for the local property tax (LPT), an Oireachtas committee heard on Tuesday. The Revenue plans to revise its onli"
"Housing completions to reach 20,000 but analysts warn of future impact","Housing completions are expected to reach 20,000 this year, Goodbody analysts have predicted, as the sector bounced back from the construction shutdown triggered by Covid-19. However, house prices are expected to fall 5 per cent by the middle of 2021, a more modest decline than previously predicted,"
The housing crisis,"Sir, – A shared-equity scheme? We already have one. It’s called inheritance (capital acquisitions) tax. It gives the Government equity in most Dublin homes with a family of two or fewer children. Another burden being placed on the younger generation. A more favourable gift threshold might just encou"
Millennial housing crisis engulfs Ireland,"“Housing exclusion” is how it’s referred to in the literature. It’s happening all over the world, young people, young families forced to pay over the odds for basic housing or to move further and further away from their place of work to find decent accommodation. It runs alongside a collapse in home"
US house prices rise at fastest pace in 15 years,"US single-family home prices in 20 key urban markets rose in April from a year earlier by the most in over 15 years as the shortage of homes available to buy drives up prices at the fastest rate seen since before the financial crisis, a closely watched survey said on Tuesday. The S&P/Case Shiller co"
Breda O'Brien: Let public land be for social and affordable housing,"The development of the publicly-owned Central Mental Hospital site in Dundrum by the Land Development Agency (LDA) is at stage three – the emerging concept stage. At the last webinar , which was organised as part of a consultation process, none of the speakers from the LDA or the architects, Reddy "
Cliff Taylor: A frothy market may blow away Government’s housing plan,"It will be hard to get beyond the noise when the Government publishes its new housing plan next week. The issue is at the centre of politics – where the Government feels vulnerable and the Opposition smells blood. In all likelihood, like most plans, it will have its good and bad bits, and – cruciall"
Government ignored repeated warnings that €75m housing scheme would increase prices,Senior Government officials warned that a €75 million scheme to take shared equity in houses bought by new home buyers would increase the price of houses without helping supply. One of the State’s most senior officials warned that the building industry was lobbying for a scheme “because it would inc
House prices grow at fastest level recorded in more than two years,"House prices grew at an annual rate of 4.5 per cent in April, the fastest level of growth recorded in 2½ years. The latest official figures show the market is continuing to experience a coronavirus-related lift. Prices in Dublin rose 3.5 per cent over the 12-month period to the end of April while pr"
House asking prices surge 6% as market shrugs off coronavirus impact,"House prices surged 6 per cent last year, the fastest pace of growth recorded in almost three years, according to a report by property website MyHome.ie, which warned that “too much cash is chasing too few homes”. Experts had expected property values to decline in 2020 in the face of mass unemployme"
Dublin house completions hit 10-year high but commencements drop,"Housing completions in Dublin hit a 10-year high in the final quarter of last year despite the pandemic causing widespread disruption across the construction sector. The latest Dublin Economic Monitor, a report compiled on behalf of the city’s four local authorities, said the number of new homes com"
Lifting of restrictions and housing costs drive inflation to two-year high of 1.7%,The rate of inflation jumped to a two-year high of 1.7 per cent last month as the easing of Covid-related restrictions and increased housing costs fuelled inflationary pressure in the Irish economy for the first time in several years. Figures from the Central Statistics Office (CSO) show the acceler
"Housing, bus lanes and cycleways dominate in Dublin Bay South","The Dublin Bay South constituency can be walked end-to-end in a few hours. For some, it brings to mind trophy homes and posh neighbourhoods in Ranelagh and Sandymount, but there is much more to it. A cycle journey from the Dodder in the south to Poolbeg on a summer’s day reveals the general impressi"
"Dublin City Council paying €100,000 more in construction costs for social housing","Private developers have been accused by Sinn Féin of ""overcharging"" and ""price gouging"" Dublin City Council (DCC) for social housing developments. In a report released on Monday, the Society of Chartered Surveyors Ireland (SCSI) said the construction costs for two-bed apartments in urban areas of D"
David McWilliams: Tax unused land and the housing market will be sorted,"Economics is counterintuitive – and maybe this is the most important lesson in macroeconomics. Here’s a good example. A responsible household will try to save but the economy is not a household. When everyone in the economy saves at the same time, it may look good and responsible from an individual "
The Irishman with big hopes making tiny houses in Berlin,"TinyBerlin When did you leave Ireland and why? I left Ireland in the late 1990s. I had lived in Spain and Argentina for almost 10 years and then returned home in 2008. I had planned on making a go of it in Dublin, but shortly after I returned Ireland entered an economic depression. Finding work i"
Democrats nominate Pelosi for fourth term as House Speaker,"Democrat Nancy Pelosi was nominated by her party for a fourth term as Speaker of the House of Representatives on Wednesday, despite Democrats' disappointing performance in this month's elections. At a virtual meeting of Democratic members of the House of Representatives, Ms Pelosi was re-elected as "
Local councils can build social housing at half the cost of private developers,"Some local councils are paying private developers up to €400,000 for social housing units when the councils themselves can build them directly at half the price, Department of Housing figures suggest. The figures provided by Minister for Housing Darragh O’Brien in response to a parliamentary questio"
The Irish Times view on house-building: the cost of going private,"Not for the first time, the State seems to be shooting itself in the foot on housing. Local authorities are paying over the odds for so-called turnkey purchases, or Part V acquisitions, which are bought directly from private developers for social housing tenants, when it would be significantly cheap"
"Irish house prices could buck European trend and fall this year, says S&P","House prices in Ireland will buck the European trend and fall this year, according Standard & Poor's (S&P). In a report on housing across Europe, the ratings agency predicts house prices in most markets are likely to rise further in 2020 despite the Covid-19 lockdowns and the unprecedented fall in e"
"Housing Shock is a valuable book. Buy, read and share it","Housing was one of the defining issues of this year’s general election. Respondents to the RTÉ exit poll in February listed it as their second most important concern at 26 per cent. While the health and economic impacts of Covid-19 have understandably overtaken all other issues, housing is still at "
‘Turnkey’ approach is ideal for providing high volumes of houses at affordable prices,"The supply of new housing in 2019 was 21,000 while the need was between 35,000 and 45,000, depending on which analysis you read. The Government has agreed to set up a Housing Commission to examine our current dysfunctional housing system. One item for attention must be how we overhaul the current co"
Affordable housing: One of State’s first schemes to be built in Lusk,"A housing co-operative behind the construction of low-cost homes in Ballymun, is to build the first affordable housing scheme in north county Dublin for more than a decade. Ó Cualann Cohousing Alliance, which has built houses in Ballymun for sale to low and middle-income workers starting at €140,000"
Housing plan: ‘This will not be forgotten by my generation at the ballot box’,DAMIEN MCDAID I really can’t see how this will solve anything in the short/medium term. The fact that apartments and sites that already have planning permission are exempt for the changes means that any potential benefit will most likely not be felt in the next 2-3 years. Reit stock prices increase
Dublin City Council seeks to use Docklands tower block for social housing,"A 15-storey privately developed apartment block in Dublin's south docklands could be used exclusively for social housing if permission is granted by An Bord Pleanála. Dublin City Council has told the developers of the proposed tower at the riverside in Ringsend, it would be interested in acquiring a"
Housing crisis will become a monster unless the State kills it now,"It never went away, you know. The greatest medium-term threat to Irish economic and social stability – which is just jargon for the fortunes of businesses and people – is not the fallout from coronavirus, it is the housing crisis, whose most grotesque features have been distorted even further by the"
Council row over Coolock site raises vital questions about housing policy,"The decision by Dublin city councillors to stop the sale of land beside Oscar Traynor Road, a few miles north of Dublin city centre, to a private developer has scuppered plans for a 853-unit private/public development. It also displays the big questions about the future of Irish housing policy. How "
Property viewings reopen: 10 houses that you simply have to see in person,"Celebrate the return of in real-life viewings by making an appointment. But hurry as estate agents’ diaries are filling fast. Monday is the day that home hunters can once again go beyond the hall door. Savvy buyers have already made their appointments, says Marian Finnegan, managing director of Sher"
David McWilliams: We are at the end of a slow-moving housing Ponzi scheme,"After years of hard slog, failed experiments, dry runs, tinkering around and enormous effort, an American medical researcher, Jonas Salk, developed the first safe vaccine for polio in 1955. A brutal, highly contagious disease, polio attacks the central nervous system and can cause deformity, particu"
"€350k Phibsborough house feels far, far away from its urban surrounds","Married couple Jonathan Healy and Pawel Audrzejewski have a serious case of puppy love. The new addition to their family, their dog Bowie, is the reason they’re upping sticks to depart their very cool schoolhouse on Blaquiere Bridge in Phibsborough, Dublin 7, for pastures greener in Co Tipperary. Bo"
UK house price growth picked up unexpectedly in February,"British house price growth picked up unexpectedly last month, mortgage lender Nationwide said on Tuesday, defying expectations of a slowdown as finance minister Rishi Sunak readies new budget measures to boost the market. House prices rose 6.9 per cent in annual terms in February from 6.4 per cent i"
Unaffordable housing poisons youth view of Fine Gael and Fianna Fáil,"After a century of relative stasis, Irish politics is realigning and the chief accelerant is housing. The State's longstanding Fine Gael-Fianna Fáil duopoly received a combined vote of just 43 per cent at the last general election, a record low. Both were outpolled by Sinn Féin who appealed to voter"
"ESRI on house prices, credit union housing loans, and pension vs mortgage","House prices would be nearly 9 per cent higher without the Central Bank of Ireland's strict mortgage lending rules, a study by the Economic and Social Research Institute (ESRI) has determined. Eoin Burke-Kennedy reports. Credit unions around the country look set to finally start lending for so"
House builders shine on Iseq as wider European stocks advance,"European shares ended higher on Thursday as a rally in crude prices saw energy stocks surge ahead, with house builders standing out as a bright spot in Dublin on the back of an upbeat trading update from Cairn Homes. The pan-European Stoxx 600 closed 0.6 per cent higher at 455.63 points, with energy"
Covid-19 to exacerbate State’s housing woes,"Big crises tend to accelerate big trends. Think of how the current one has accelerated the shift online. A bigger-than-ever segment of the population is now working, shopping and communicating almost exclusively online. Digitisation is largely regarded as a good thing even if there are losers: tradi"
Lack of supply doesn’t explain current spike in house prices,"While the supply of homes – new and second hand – remains inadequate compared with the estimated level of demand, it can’t explain the current spike in prices. Asking prices for houses in the Republic are now rising by 13 per cent, according to property websites Daft and Myhome, the latter of which "
UK house prices grow at fastest rate in more than 17 years,"UK house prices grew at their fastest annual pace for more than 17 years in June, adding to a growing wealth gap that is worrying policy-makers. Values were 13.4 per cent higher than a year earlier, the biggest gain since November 2004, Nationwide Building Society said on Tuesday. Prices rose 0.7 pe"
"House asking prices rise 9%, budget hikes on cars, and Quinn transfers hotel shares","Asking prices for Irish houses are currently running 9 per cent higher than a year ago, according to separate reports from property websites MyHome.ie and Daft, both of which highlight that prices outside of Dublin are accelerating faster than in the capital. Joe Brennan goes through the numbers"
House prices defy predictions to rise 2.2% in 2020,"House prices rose by an average of 2.2 per cent last year, despite the pandemic. The annual rate of growth recorded in December was the fastest in 17 months. Prices in Dublin, which had been declining, also ended the year higher – up 1.2 per cent in the year to December. At the outset of the pandemi"
"Aer Lingus’s Shannon cuts, housing supply risks, and price inflation","Aer Lingus chief executive Lynne Embleton will tell the Oireachtas transport committee today that the airline will not reverse its decision to close its Shannon Airport crew base , leaving the future of up to 126 jobs in question, writes Barry O'Halloran. More than half of the new housing develop"
Lockdown drives house prices up in first quarter,"House prices rose during the first quarter of the year as lockdown measures negatively impacted the available stock of properties for sale throughout the country, according to estate agent Sherry FitzGerald. The average value of second-hand homes increased by 1.5 per cent in the opening three months"
Can house prices hold up after Covid-19?,The extent of the economic collapse due to Covid-19 meant most forecasters were expecting a drop in house prices this year. A massive collapse in consumer spending in the second quarter and the effective shutting down of much of the economy did lead to a fall off in transactions and some softness in
Ongoing housing shortage drives demand for development land,"After a buoyant market in 2019 the development land sector witnessed a significant reduction in transactions with the onset of Covid-19. The first lockdown represented uncharted waters for everyone with vendors and purchasers adopting a wait-and-see approach. Unfortunately, the virus was not subdued"
House price growth jumps to three-year high of 8.6%,"Annual house price inflation jumped to 8.6 per cent in July, the fastest level of growth seen in the market in almost three years. This was up from 6.9 per cent the previous month. The latest Central Statistics Office (CSO) figures show prices continue to trend upward on the back of pandemic-related"
"House prices jump by €20,000 amid Covid ‘supply shock’","House prices in Ireland have increased by an average of €20,000 in the past year, according to property website Daft.ie. This is roughly twice the rate of the inflation seen in 2018 and 2019 and comes on the back of major “supply shock” triggered by a downturn in construction and agents deciding not"
"Irish house prices may fall by up to 4% in 2021, Fitch says","Irish house prices, which defied expectations by holding firm during the Covid-19 crisis, are set to fall by 2-4 per cent in each of the next two years as the effects of the pandemic and Brexit weigh on economic growth, according to Fitch Ratings. The debt ratings agency said it is assuming a no-dea"
Groundhog Day policy on housing is getting us nowhere,"No one could sensibly accuse the current Fianna Fáil front bench of being anything like the clique that ruled the roost back in the 2000s. The party has spent 10 long years in the sin bin for that period of misrule, enough time for some serious soul searching. Now it's back in power with a new team "
The housing crisis,"Sir, – A browse through The Irish Times using the online search facility yielded the following impressive, but almost certainly incomplete, list of proposed solutions, part or whole, to the housing crisis: build more social housing; borrow massively to build more social housing; build more affordabl"
Solo buyer: I could afford a garden shed but would I ever be able to buy a house?,It was late 2018 when I felt the first “I need to buy a house” solo pang. That sudden bolt of realisation was triggered by news that a family friend in her 50s had been evicted from her accommodation of 10 years after her landlord decided to cut ties with the Irish rental market. Life flashing befor
Central Bank raises fresh doubts about Government’s housing plan,"The Central Bank has raised further concerns about the Government's new shared equity loan scheme for struggling home-buyers, suggesting it is unlikely to elicit more supply. The regulator's director of economics and statistics, Mark Cassidy, said ""the main effect"" of the proposed scheme was likely "
New Government should adopt housing commission to deliver homes for all,"Housing Policy is unsurprisingly on the agenda of the parties negotiating the formation of a new government. The temptation will be to weld together a mishmash of previous politics, and personal and party leanings rather than try to come up with a lasting, coherent and implementable housing policy. "
"Ireland has high hopes for 2022 – apart from weather events,  housing and prices","There’s no point being Irish, the Irish-American politician Daniel Patrick Moynihan said at the time of the assassination of JFK, “if you don’t know the world is going to break your heart eventually”. He was attempting to put into words what is seen as our national lugubriousness, the morose state i"
"House prices to rise before a fall, time for insurance deep dive, and €80m for docklands’ site","House price inflation is likely to climb to 12 per cent this year before falling back sharply in 2022 as supply comes on and affordability constraints kick in, the chief executive of DNG estate agents has said. Keith Lowe tells Eoin Burke-Kennedy that the current uptick in prices was being driven "
"Minister confirms he will raise eligibility cap for affordable housing above €75,000","Minister for Housing Darragh O’Brien has confirmed he will increase the affordable housing eligibility threshold for couples above the current €75,000 income limit. In his first Dáil question time as Minister he said, “I don’t think it’s helpful that we have basic salary caps of €75,000 for couples”"
House price growth accelerates to 3.7% as Covid heats up market,"House prices grew by 3.7 per cent year on year in March – the fastest rate of growth recorded in two years – while property-related transactions jumped by 23 per cent. The latest official figures show the market is continuing to experience a mini-boom brought on by Covid-19. Prices in Dublin, where "
State bodies playing role in squeezing Dublin housing market,"There were some interesting takeaways from the CSO’s latest residential property price index. Prices decreased by 0.5 per cent nationally in the year to July, while in Dublin the decline was 1.3 per cent. House prices in the capital decreased by 1.2 per cent while apartments increased by 0.4 per cen"
Government still wants funds in housing market but not at any price,"As the Government mulls its options on restricting the bulk purchase of family homes by investment funds, Ministers and senior officials are wary of chasing away a source of funding for desperately-needed new housing projects. While Government has accepted in the last 24 hours the political necessit"
House price growth accelerates to fastest level in 2½ years,"House prices rose at an annual rate of 6.9 per cent in June, the fastest level of growth seen in 2½ years. This was up from 5.4 per cent the previous month. Central Statistics Office (CSO) figures show the State's property market continues to be stoked by pandemic-related factors, such as increased "
"Do not listen to estate agents – house prices will go down, not up","The medium-term trend for house prices is not up, it's down, and we should be wary of estate agents telling us otherwise. We had our fill of self-serving, industry-based reports back in the 2000s and look where that got us. When Covid hit back in March last year, it seemed like the bottom had fallen"
Our housing system is broken. We need to start again,"Nobody ever sat down and planned our housing system. It is the outcome of a century of incremental changes. Some of these arose from policy decisions, others from the evolution of custom and practice. Evolutionary change can work well. But sometimes we see such profound changes to our environment th"
Seabren secures €5.7m from sale of Dublin 12 social housing units,"Seabren Developments – the company led by Michael Moran of the Red Cow Moran Hotel and Johnny O'Loughlin – has completed the sale of 12 three-bedroom houses in Dublin 12 to the registered charity, Acorn Housing. While the developer declined to comment on the amount paid for the Cromwellsfort Court p"
Farewell to the city: Is it time to move to a house in the country?,"Has the pandemic made you long for more space? A bigger, more affordable home; green fields; fewer people: there’s a lot to be said for quitting the city. With a global acceleration towards remote working, and cheaper housing, for some, living in the capital may no longer add up. Crowded house For w"
Minister for Housing to ban new co-living developments,"Minister for Housing Darragh O’Brien will today issue a de facto ban on new co-living developments, which the Taoiseach has previously warned could become “glorified tenement living”. Mr O’Brien has told officials he is concerned about the volume of co-living developments in the pipeline and the pla"
"House prices fall 3% in three months, says MyHome.ie","House prices fell by almost 3 per cent to an average price of €268,000 as Covid-19 struck in the second quarter of the year, according to property website MyHome.ie. The MyHome.ie/Davy property report for the three months from the end of March says that the full impact of the coronavirus pandemic on"
"People say, ‘Barcelona is wonderful. Why would you buy a house in Ballincollig?’","When Paola Chavez' husband, Juan, moved to Ireland in January 2020 to work in paediatrics at Cork University Hospital, she presumed she would follow him soon after. Also a doctor, Chavez needed to finish work in Barcelona and arrange for the couple's two dogs to be transported to Ireland. It was sup"
Building the dream home: I looked at loads of houses and thought the prices were crazy,"Setting your sights on a custom-built A-rated home, within Dublin’s city limits, is no mean feat. But then architect Declan O’Donnell has always loved a challenge, and in designing and building his own family home he has a sleek space that is both future-proofed and baby-proofed. We’ve all spent tim"
Which way are house prices heading? Depends on the data,"With extraordinary events continuing to unfold, divining trends from the usual data is becoming problematic. With rolling lockdowns in play, meaningful comparisons between this year and last are fraught. You may need some help to read the runes. Apples and oranges The CSO’s Residential Property Pric"
Property lockdown: Houses that sold before Covid-19 struck,"As coronavirus slows the property market to a crawl, with viewers unable to visit properties and uncertainty over mortgage approvals and job security, there is one property service that, for now at least, continues to operate. The Property Services Regulatory Authority (PSRA) based in Co Meath is co"
"UK house prices surge to new high, Nationwide says","British house prices leaped to hit an all-time high in August, mortgage lender Nationwide said on Wednesday, adding to signs of a sharp rebound in the country's housing market after the coronavirus lockdown. Prices jumped 2 per cent from July, the biggest month-on-month increase since 2004, far outs"
"House prices rise by 4.3% amid lifting of Covid-19 restrictions, report says","House prices have bounced back since the lifting of coronavirus lockdown restrictions, rising by 4.3 per cent between June and August, according to a report by property website MyHome.ie and stockbroking firm Davy. This comes in the wake of a 3 per cent decline in prices in the second quarter of the"
"If the bank valuation drops on a house we want to buy, will the seller negotiate on price?","Would a developer/seller negotiate on the price of a new house if the bank final valuation drops? We have been saving more than five years for a deposit on a house in Dublin. We had a very rough journey getting a mortgage, with one of us being self-employed. But in September 2019 we managed to ge"
A year around the world with four children: One family’s solution to the housing crisis,"Sara Banks feels it was her family's first move, from Wisconsin in the US to England when she was eight years old, and the subsequent realisation the world was a bigger place than home, that gave her the travel bug. And, once bitten, she was hooked. The prospect of leaving her home in Ireland and tr"
Number of houses for sale falls to 14-year low,"The stock of houses available to buy has hit a 14-year low as asking prices once again started to surge over the summer, according to industry research. Average house asking prices rose by 4.8 per cent nationally in three months to the end of September to almost €264,000, according to property websi"
Churches urge faithful to exert pressure on politicians over housing,"Sixteen Irish churches have called jointly on voters to pressure politicians over the State’s housing crisis. These include the Catholic Church, Church of Ireland and Presbyterian Church. Every ""local congregation"" is affected by the shortage of affordable housing, said Catholic Bishop of Limerick B"
Housing policy favours wealthy,"Sir, – The article by Kitty Holland (""Residents facing eviction, March 15th ) proves that the Government's housing policy is working very well – for the wealthy owners of property. Ten families, including elderly and sick people, face eviction into homelessness, some of whom have lived there [in th"
Affordable housing plan will see State take up to 30% equity with first-time buyers,"A new affordable housing plan that will see the State take up to 30 per cent equity in a home with a first-time buyer is set to go to Cabinet next week. The Minister for Housing, Darragh O’Brien, said the State will put in up to 30 per cent of the equity to help finance the purchase of a new home, a"
"House prices to fall by 12 % over next 18 months, ESRI says","House prices could fall by 12 per cent over the next 18 months as a result of the Covid-19 pandemic, the Economic and Social Research Institute (ESRI) has indicated. In a research paper, the think tank estimates the impact of the two possible recovery scenarios on house prices here. The first, invol"
The Goldilocks problem of Irish housing: it’s never just right,"We’re about to enter a period of falling house prices and rents, combined with a pick-up in supply, the biggest in over a decade. That means more homes at more affordable prices. In other words, the housing market we’ve always wanted. The only problem is, we’ve had to crash the economy to get it. Ju"
"Georgian house, gardens and gate lodge in Killiney for €1.1m","Oakdene House, a modest yet rambling late Georgian property, has been home to the Cooke family for the past 40 years. Following the death of Jim Cooke, a former production editor at The Irish Times, his wife Georgina has decided to place their home on the market as at 255sq m (2,745sq ft) it has bec"
Daughter denied she left house to get ‘permanent peace’ from mother,A woman accused of impeding the investigation into her mother’s alleged murder denied to gardaí that she had left their house on the night of the killing to get “permanent peace”. Asked by interviewing detectives why her then partner was seen on CCTV footage closing the curtains when she and her chi
"House prices surge, Ibec warning and North should embrace dual identity","House prices surged more than 13 per cent in the past 12 months as buyer demand outstripped supply. Property websites myhome.ie and daft.ie both recorded a major pick-up in headline inflation in their latest quarterly reports, while noting that the supply of homes was significantly lower than a "
"Studs, cottages, fairytale escapes: our favourite houses in 2020","Eyrefield Lodge Stud, The Curragh, Co Kildare Status: Placed for sale through Jordan Auctioneers in late June seeking €4 million, just gone sale agreed. There was just something about Eyrefield Lodge Stud on the Curragh in sunny late June. The Athgarvan estate and its owners Edmund and Sue Lod"
Pandemic paradox: Why aren’t house prices falling?,"Is it the time for selling “gracious” homes with a residents’ club and concierge? Cairn Homes certainly thinks so. Some three years after acquiring a plot of land from RTÉ for €107.5 million, it is getting ready to launch its Donnybrook Gardens development next month. And the pandemic doesn’t appear"
"Going, going, gone online: Rathmines auction house goes virtual","Since mid-March the Rathmines auction house Herman & Wilkinson has been closed for its weekly auctions, due to the Covid-19 crisis. The company – previously known as McMullen’s – has been running weekly on-site household clearance sales since 1928 but, for now, bidding and buying is happening in a v"
Sealing the deal: how to buy a house at the right price,"Start low. Offer the asking. Sit tight. With so much conflicting advice on offer, it’s a wonder any house gets sold. Finding a home and making the biggest financial commitment of your life brings big emotions. Knowing the market – and your own mind – is the art of the deal. Do your research Viewing "
Election 2020: Parties' pledges on housing simply don’t add up,"Fianna Fáil says it's ""going all out on housing"", promising to build 200,000 homes over five years if elected. Fine Gael has responded with a pledge to double the State's housing output to 40,000 units per year, which also works out at 200,000 over five years. What's wrong with these numbers? Just a"
House insurance: save yourself money by reviewing your policy,"Burglaries and storm damage peak in winter. That makes now a good time to check your house insurance. Too many of us blindly renew policies that cost too much, cover too little, or both. The only ones winning are insurance companies. The Central Bank of Ireland has found dual pricing in the insuranc"
Is this the most beautiful social housing in Dublin?,"Amid overpriced homes and escalating rents, tales of gouging landlords and unscrupulous developers, and a laissez faire that’s allowed homes become a commodity for profit, here comes one happy housing story, of how it can be done, and done right. Zainab El Mahy came to Ireland from Sudan in 2007 and"
"Just 8,000 houses built last year offered for sale on open market, says CIF","Only about 8,000 of the 21,000 new homes built in the Republic last year were offered for sale on the open market, according to the Construction Industry Federation. The federation, which represents most builders, says that the State acquired at least 4,400 new homes for social housing, while invest"
David McWilliams: A fall in house prices should be our goal,"The Housing Fix is an Irish Times series exploring solutions to Ireland’s housing crisis – arguably the biggest social and economic issue facing the country and its next government – in the run-up to the general election. Housing should be the defining issue of the upcoming election, but for Fine G"
A €29k cottage? A €90k church? One woman’s search for Ireland’s cheapest houses,"In the market to buy a house? How about a cottage on 1.4 hectares (3.5 acres) in Co Sligo, for €29,000? Or perhaps a 15th century castle in Co Clare, which will set you back €90,000. Alternatively, for a mere €20,000, you could become the proud owners of a church on the outskirts of Athlone. This ma"
